"target","item_id","timestamp"
162.3300018310547,0,"2020-06-15"
162.25,0,"2020-06-16"
162.55999755859375,0,"2020-06-17"
162.24000549316406,0,"2020-06-18"
164.02999877929688,0,"2020-06-19"
165.08999633789062,0,"2020-06-22"
166.47999572753906,0,"2020-06-23"
165.89999389648438,0,"2020-06-24"
165.8000030517578,0,"2020-06-25"
166.5399932861328,0,"2020-06-26"
166.6300048828125,0,"2020-06-29"
167.3699951171875,0,"2020-06-30"
166.6199951171875,0,"2020-07-01"
166.97999572753906,0,"2020-07-02"
167.97999572753906,0,"2020-07-06"
169.0399932861328,0,"2020-07-07"
170.08999633789062,0,"2020-07-08"
169.6300048828125,0,"2020-07-09"
169.19000244140625,0,"2020-07-10"
169.39999389648438,0,"2020-07-13"
170.19000244140625,0,"2020-07-14"
